Inference for Bugs model at "model_0.bug", fit using jags,
 3 chains, each with 2e+05 iterations (first 1e+05 discarded), n.thin = 100
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
L0_mean       58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,12]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,12]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,12]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,12]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,12]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,12]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,13]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,13]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,13]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,13]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,13]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,13]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,13]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,14]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,14]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,14]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,14]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,14]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,14]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,14]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,15]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,15]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,15]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,15]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,15]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,15]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,15]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,16]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,16]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,16]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,16]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,16]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,16]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,16]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,17]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,17]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,17]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,17]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,17]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,17]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,17]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,18]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,18]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,18]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,18]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,18]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,18]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,18]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,19]   58.233   1.903   54.356   57.042   58.215   59.489
