Inference for Bugs model at "model_1.bug", fit using jags,
 3 chains, each with 2e+06 iterations (first 1e+06 discarded), n.thin = 1000
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
CV_k           2.468   0.054    2.327    2.443    2.483    2.508
L0_mean       58.644   1.886   54.966   57.349   58.669   59.932
L_hat[1,1]    59.428   3.626   52.471   56.956   59.415   61.790
L_hat[2,1]    73.735   2.849   68.193   71.871   73.746   75.644
L_hat[3,1]    87.858   2.387   83.187   86.264   87.863   89.515
L_hat[4,1]   102.310   2.291   97.843  100.814  102.303  103.819
L_hat[5,1]   116.571   2.518  111.433  114.923  116.568  118.277
L_hat[6,1]   131.142   2.939  125.023  129.213  131.161  133.139
L_hat[7,1]   145.022   3.417  137.730  142.782  145.172  147.401
L_hat[1,2]    59.521   3.586   52.679   57.077   59.561   61.945
L_hat[2,2]    73.767   2.826   68.358   71.868   73.728   75.686
L_hat[3,2]    87.835   2.368   83.246   86.221   87.792   89.414
L_hat[4,2]   102.240   2.264   97.744  100.736  102.202  103.705
L_hat[5,2]   116.461   2.476  111.654  114.789  116.459  118.104
L_hat[6,2]   130.999   2.882  125.255  129.063  131.075  132.940
L_hat[7,2]   144.855   3.344  138.140  142.598  145.001  147.159
L_hat[1,3]    66.375   3.648   59.168   63.910   66.454   68.767
L_hat[2,3]    77.810   2.937   72.068   75.785   77.838   79.802
L_hat[3,3]    89.203   2.440   84.455   87.533   89.249   90.907
L_hat[4,3]   100.974   2.268   96.555   99.439  100.986  102.499
L_hat[5,3]   112.702   2.487  107.895  111.035  112.713  114.415
L_hat[6,3]   124.802   3.014  118.826  122.811  124.806  126.829
L_hat[7,3]   136.441   3.677  129.098  134.022  136.463  138.843
L_hat[1,4]    51.396   3.609   44.014   48.953   51.438   53.857
L_hat[2,4]    63.334   2.898   57.353   61.409   63.381   65.336
L_hat[3,4]    75.219   2.417   70.277   73.591   75.295   76.883
L_hat[4,4]    87.490   2.274   83.066   85.959   87.501   89.025
L_hat[5,4]    99.707   2.522   94.821   97.965   99.732  101.433
L_hat[6,4]   112.303   3.064  106.371  110.231  112.385  114.381
L_hat[7,4]   124.409   3.730  116.997  121.868  124.509  126.920
L_hat[1,5]    55.610   4.345   47.081   52.621   55.672   58.466
L_hat[2,5]    68.412   3.074   62.328   66.391   68.447   70.401
L_hat[3,5]    78.426   2.271   73.971   76.907   78.440   79.923
L_hat[4,5]    86.518   2.144   82.256   85.062   86.491   87.942
L_hat[5,5]    92.798   2.606   87.644   91.057   92.803   94.556
L_hat[6,5]    97.829   3.308   91.285   95.574   97.864  100.029
L_hat[7,5]   101.587   3.998   93.943   98.797  101.593  104.236
L_hat[1,6]    61.363   3.689   54.165   58.889   61.439   63.810
L_hat[2,6]    74.912   2.903   69.216   72.986   74.944   76.888
L_hat[3,6]    88.335   2.413   83.649   86.734   88.349   89.946
L_hat[4,6]   102.122   2.303   97.456  100.582  102.158  103.668
L_hat[5,6]   115.777   2.560  110.623  114.086  115.802  117.506
L_hat[6,6]   129.782   3.054  123.654  127.733  129.800  131.812
L_hat[7,6]   143.173   3.623  135.799  140.815  143.238  145.632
L_hat[1,7]    52.284   3.522   45.272   50.050   52.292   54.650
L_hat[2,7]    63.102   2.845   57.490   61.253   63.054   65.032
L_hat[3,7]    73.892   2.380   69.118   72.333   73.881   75.494
L_hat[4,7]    85.054   2.246   80.640   83.547   85.055   86.567
L_hat[5,7]    96.187   2.502   91.213   94.519   96.199   97.874
L_hat[6,7]   107.686   3.059  101.675  105.630  107.666  109.718
L_hat[7,7]   118.760   3.746  111.290  116.192  118.758  121.285
L_hat[1,8]    76.360   3.453   69.645   74.019   76.339   78.594
L_hat[2,8]    90.580   2.771   85.063   88.698   90.577   92.344
L_hat[3,8]   104.603   2.380   99.862  103.051  104.595  106.140
L_hat[4,8]   118.939   2.302  114.447  117.394  118.900  120.460
L_hat[5,8]   133.072   2.489  128.136  131.376  133.103  134.741
L_hat[6,8]   147.499   2.840  141.777  145.643  147.593  149.452
L_hat[7,8]   161.229   3.247  154.625  159.092  161.353  163.538
L_hat[1,9]    62.705   3.492   56.086   60.378   62.615   64.920
L_hat[2,9]    77.194   2.770   72.014   75.317   77.144   79.012
L_hat[3,9]    91.482   2.341   86.844   89.925   91.469   93.033
L_hat[4,9]   106.092   2.244  101.624  104.610  106.140  107.603
L_hat[5,9]   120.494   2.437  115.594  118.855  120.576  122.130
